Size	P1	P2	P3	P4
1000	220218.12	178039.98	584084.5	378086.0
2000	158900.2	219497.88	557572.94	411411.28
3000	201396.8	338186.12	519650.2	342933.25
4000	228669.19	350242.88	639830.44	289516.97
5000	268288.97	425284.72	757101.7	331746.44
6000	326450.12	514462.84	913834.6	402872.7
7000	385393.47	618095.8	1064181.2	476153.38
8000	441665.3	728623.8	1214568.4	531501.75
9000	526312.25	881007.25	1358906.9	615590.94
10000	577270.6	966609.75	1308611.1	684562.75
11000	688247.44	1147691.1	1446590.9	769675.6
12000	724451.8	1211221.2	1532601.6	802573.5
13000	807857.06	1394341.8	1661463.6	857926.25
14000	895489.8	1523417.6	1768161.6	919242.0
15000	866067.25	1512444.5	1732694.5	939020.94
16000	919552.0	1625394.1	1765519.9	974534.9
17000	988966.25	1762568.1	1579481.9	1010431.5
18000	1086261.9	1930325.5	1657484.0	1081081.1
19000	1162398.1	2102094.5	1692215.6	1125242.6
20000	1245350.1	2269915.8	1766310.8	1177970.8
21000	1350759.4	2454968.5	1843199.0	1230049.0
22000	1436453.6	2652449.5	1963073.8	1384993.0
23000	1541386.1	2840652.8	2044330.9	1405616.1
24000	1665030.9	3083967.0	2089956.5	1498186.2
25000	1770465.6	3267198.5	2142306.2	1513248.0
26000	1893058.9	3409339.8	2131318.2	1613912.1
27000	1978026.5	3710477.5	2271993.5	1608919.4
28000	2013440.0	3857378.5	2433146.2	1766545.8
29000	2059719.6	4153673.0	2545655.8	1821186.8
30000	2229919.8	4386980.0	2605689.0	1867584.0
31000	2349292.2	4636249.0	2626348.5	1858126.2
32000	2529320.0	4882568.5	2845352.8	2088001.0
33000	2622969.5	5079162.5	2853006.5	2164387.2
34000	3105513.5	6021086.0	3297005.8	2409389.8
35000	2922170.5	5653276.0	3074368.0	2259291.2
36000	3005996.8	5907713.5	3061499.2	2291344.8
37000	3127619.8	6170761.5	3136724.8	2352357.0
38000	3279139.8	6465908.5	3253686.5	2399100.8
39000	3517970.0	6983758.5	3374580.5	2584939.8
40000	3564074.2	7024409.0	3327229.8	2585286.0
41000	3703730.0	7369094.5	3335693.8	2647493.0
42000	3859759.8	7647222.0	3436411.2	2748826.2
43000	3985106.0	8051374.5	3512357.0	2800368.2
44000	4125742.5	8376147.0	3536823.2	2834473.5
45000	4284095.5	8696685.0	3627946.5	2885932.2
46000	4435374.0	9154797.0	3660609.2	2977211.2
47000	4552170.5	9483430.0	3685372.5	2995987.8
48000	4676240.5	9937553.0	3967930.2	3273259.8
49000	7008350.5	-7203915.5	5626613.0	4459605.0
